,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
0,9,Jordi Alba,33.2,81,2.44,73,1,2,0,4,1,15,0.45,14,0,0,0,1,0,9,33.2,45,33,23,15,7,18,53,34.0,35,450,154,34.2,174,190,86,74,7,0,67,41,86,75,0,9,33.2,2305,2686,85.8,36567,13309,1283,1393,92.1,856,986,86.8,145,233,62.2,8,5.2,+2.8,44,141,60,18,213,9,33.2,2990,97,712,1348,1057,104,2675,20,29,69.0,20,1,2102,7762,4507,228,57,23,28,18,2307,2108,91.4,162,9,33.2,2,14,4,28.6,0.42,0.12,0.14,0.50,13.7,0,0,0,1.8,1.8,0.13,+0.2,+0.2,87
1,25,Antoñito,20.7,44,2.13,35,2,4,0,2,1,2,0.10,1,0,1,0,0,0,25,20.7,37,13,18,13,6,18,51,35.3,33,299,58,19.4,137,118,44,38,7,1,31,11,48,31,0,25,20.7,671,902,74.4,11242,5016,334,368,90.8,268,345,77.7,57,149,38.3,1,1.9,-0.9,23,50,25,13,75,25,20.7,1101,47,280,517,395,20,945,29,42,69.0,30,2,714,3643,2279,123,45,6,28,27,785,672,85.6,46,25,20.7,2,8,2,25.0,0.39,0.10,0.25,1.00,16.1,0,0,0,1.0,1.0,0.12,+1.0,+1.0,71
2,26,Vitorino Antunes,24.2,58,2.39,31,17,3,3,1,3,5,0.21,5,0,0,0,0,0,26,24.2,43,26,25,16,2,27,50,54.0,23,348,100,28.7,179,118,51,61,9,0,52,25,68,70,1,26,24.2,713,1178,60.5,15239,8474,251,312,80.4,314,453,69.3,136,361,37.7,3,2.8,+0.2,29,77,34,17,88,26,24.2,1439,76,385,670,463,21,1088,23,35,65.7,23,2,726,3714,2016,97,39,7,20,18,729,629,86.3,45,26,24.2,1,29,6,20.7,1.20,0.25,0.03,0.17,26.8,4,0,0,0.9,0.9,0.03,+0.1,+0.1,80
3,27,Anuar,12.0,6,0.50,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0,27,12.0,30,19,16,13,1,10,17,58.8,7,276,67,24.3,95,160,21,23,1,0,22,7,37,29,2,27,12.0,306,401,76.3,5423,1024,143,177,80.8,124,155,80.0,32,51,62.7,0,0.1,-0.1,3,16,2,1,15,27,12.0,535,35,168,324,83,15,525,3,5,60.0,4,0,311,2016,1108,31,10,3,10,12,399,294,73.7,23,27,12.0,1,10,4,40.0,0.83,0.33,0.10,0.25,11.8,0,0,0,2.7,2.7,0.27,-1.7,-1.7,75
4,28,Emmanuel Apeh,0.2,1,6.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,28,0.2,0,0,0,0,0,0,1,0.0,1,5,1,20.0,0,3,2,0,0,0,0,0,0,0,0,28,0.2,6,7,85.7,68,2,2,3,66.7,2,2,100.0,0,0,,0,0.1,-0.1,1,1,0,0,0,28,0.2,9,0,0,4,7,1,9,0,1,0.0,0,0,9,17,1,0,0,0,0,1,14,8,57.1,5,28,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,69
5,29,Mauro Arambarri,29.7,32,1.08,22,1,2,0,7,0,3,0.10,1,1,0,0,1,0,29,29.7,76,54,19,48,9,23,78,29.5,55,858,200,23.3,195,539,124,55,4,0,51,25,101,33,0,29,29.7,560,804,69.7,12668,3657,199,253,78.7,193,269,71.7,151,243,62.1,2,1.6,+0.4,15,74,8,2,90,29,29.7,1114,53,214,709,250,25,1087,40,51,78.4,43,1,685,2880,1151,42,18,5,29,22,609,505,82.9,36,29,29.7,1,26,9,34.6,0.87,0.30,0.04,0.11,24.5,3,0,0,1.4,1.4,0.05,-0.4,-0.4,77
6,30,Guilherme Arana,7.0,5,0.72,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,30,7.0,6,5,3,3,0,2,6,33.3,4,90,27,30.0,44,34,12,6,2,0,4,3,9,11,0,30,7.0,239,295,81.0,3834,1071,123,146,84.2,101,117,86.3,14,24,58.3,0,0.1,-0.1,2,5,1,1,8,30,7.0,347,14,103,168,92,12,294,4,11,36.4,4,1,220,1157,694,42,8,4,3,1,226,208,92.0,9,30,7.0,0,5,2,40.0,0.72,0.29,0.00,0.00,17.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,73
7,32,Anaitz Arbilla,21.7,14,0.65,12,0,0,1,1,0,3,0.14,3,0,0,0,0,0,32,21.7,31,18,25,5,1,12,25,48.0,13,141,40,28.4,84,51,6,26,8,0,18,28,59,146,5,32,21.7,855,1094,78.2,21848,7004,177,208,85.1,410,473,86.7,263,398,66.1,2,0.4,+1.6,4,126,6,1,83,32,21.7,1357,101,494,859,110,21,1294,6,7,85.7,6,0,794,6032,2926,106,31,1,10,4,746,723,96.9,15,32,21.7,1,19,1,5.3,0.88,0.05,0.05,1.00,22.9,3,0,0,0.7,0.7,0.04,+0.3,+0.3,77
8,33,Santiago Arias,19.7,32,1.63,28,1,1,0,2,0,3,0.15,3,0,0,0,0,0,33,19.7,55,34,40,15,0,13,36,36.1,23,206,82,39.8,115,70,21,28,1,0,27,25,80,46,0,33,19.7,821,1037,79.2,13087,5983,427,477,89.5,330,418,78.9,43,100,43.0,1,1.1,-0.1,14,46,26,9,97,33,19.7,1223,50,309,537,446,23,1050,14,23,60.9,14,0,744,3547,1980,112,35,3,10,9,742,657,88.5,45,33,19.7,1,9,1,11.1,0.46,0.05,0.11,1.00,17.6,0,0,0,0.4,0.4,0.04,+0.6,+0.6,79
9,35,Sergio Asenjo,32.0,2,0.06,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,35,32.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,1,0,0,1,0,0,2,0,35,32.0,521,805,64.7,19300,12895,50,50,100.0,211,216,97.7,259,538,48.1,0,0.0,0.0,0,15,0,0,1,35,32.0,929,841,923,6,0,0,600,0,0,,0,0,335,1983,1089,0,0,0,0,0,246,246,100.0,0,35,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,82
