,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
0,4,Aritz Aduriz,23.9,35,1.46,19,0,2,6,7,1,2,0.08,2,0,0,0,0,0,4,23.9,11,8,2,6,3,1,6,16.7,5,6,0,6,3,14,18,0,4,23.9,337,518,65.1,4422,934,218,296,73.6,86,143,60.1,12,30,40.0,1,1.5,1.6,-0.5,11,41,11,0,45,4,23.9,702,20,41,314,350,108,697,24,19,79.2,5,20.8,411,1876,691,27,19,10,43,42,575,150,4,23.9,9,56,23,41.1,2.34,0.96,0.11,0.26,13.5,0,3,5,11.1,7.6,0.13,-2.1,-1.6,83
1,6,Imanol Agirretxe,2.6,2,0.78,0,0,0,1,1,0,2,0.78,0,0,0,1,1,0,6,2.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,6,2.6,38,60,63.3,488,81,24,32,75.0,9,16,56.3,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,5,6,2.6,78,2,3,42,33,11,78,3,3,100.0,0,0.0,46,154,29,1,0,0,8,4,65,8,6,2.6,0,6,2,33.3,2.33,0.78,0.00,0.00,10.4,0,0,0,1.2,1.2,0.19,-1.2,-1.2,73
2,9,David Alba,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,9,0.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,7,1,9,0.7,7,9,77.8,178,102,2,3,66.7,3,4,75.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,2,9,0.7,17,5,13,4,0,0,17,0,0,,0,,5,19,8,0,0,0,0,0,4,0,9,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,63
3,10,Jordi Alba,30.5,64,2.10,61,1,1,1,0,0,11,0.36,10,0,0,1,0,0,10,30.5,63,42,35,22,6,26,52,50.0,26,34,5,29,68,131,67,1,10,30.5,2074,2418,85.8,28727,8911,1320,1416,93.2,597,716,83.4,91,138,65.9,8,6.1,5.3,+1.9,38,99,39,4,135,10,30.5,2688,82,666,1197,845,98,2688,33,23,69.7,10,30.3,1525,5855,3128,58,53,13,30,14,1858,314,10,30.5,2,15,5,33.3,0.49,0.16,0.13,0.40,14.4,0,0,0,2.1,2.1,0.14,-0.1,-0.1,87
4,23,Jordi Amat,22.7,18,0.79,16,0,2,0,0,0,1,0.04,1,0,0,0,0,0,23,22.7,32,23,15,16,1,11,24,45.8,13,14,4,10,38,70,77,2,23,22.7,1444,1609,89.7,27991,7765,497,538,92.4,782,831,94.1,152,201,75.6,0,0.1,0.3,-0.1,5,77,3,0,101,23,22.7,1791,89,701,1035,72,12,1791,22,18,81.8,4,18.2,1288,6324,3346,13,13,0,8,2,1323,5,23,22.7,0,7,1,14.3,0.31,0.04,0.00,0.00,18.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4,76
5,26,Jon Ander Serantes,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,26,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,26,1.0,12,33,36.4,636,597,0,0,,2,2,100.0,10,31,32.3,0,0.0,0.0,0.0,0,1,0,0,0,26,1.0,36,29,36,0,0,0,36,0,0,,0,,15,128,104,0,0,0,0,0,7,0,26,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,76
6,32,Vitorino Antunes,31.1,59,1.90,31,20,3,1,1,3,5,0.16,3,1,1,0,0,0,32,31.1,58,44,42,14,2,38,74,51.4,36,31,3,28,58,116,89,1,32,31.1,862,1366,63.1,15837,8357,400,455,87.9,328,491,66.8,114,345,33.0,2,3.4,3.2,-1.4,28,89,36,15,116,32,31.1,1711,80,517,730,482,8,1710,39,18,46.2,21,53.8,720,3619,1768,45,47,2,40,24,723,65,32,31.1,0,29,3,10.3,0.93,0.10,0.00,0.00,29.8,10,0,1,1.7,0.9,0.03,-1.7,-0.9,80
7,34,Mauro Arambarri,23.6,25,1.06,18,0,1,2,2,2,2,0.08,1,0,0,1,0,0,34,23.6,56,41,19,30,7,14,47,29.8,33,26,3,23,25,81,36,0,34,23.6,435,629,69.2,9748,2632,147,191,77.0,162,217,74.7,115,178,64.6,1,1.9,1.3,-0.9,9,53,7,1,76,34,23.6,843,39,226,517,117,15,843,24,13,54.2,11,45.8,445,2094,723,12,10,2,14,29,389,15,34,23.6,1,21,3,14.3,0.89,0.13,0.05,0.33,23.4,1,0,0,1.6,1.6,0.08,-0.6,-0.6,76
8,35,Guilherme Arana,2.1,2,0.93,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,35,2.1,4,2,3,1,0,1,1,100.0,0,0,0,0,5,9,8,0,35,2.1,105,123,85.4,1310,461,81,86,94.2,19,25,76.0,2,7,28.6,0,0.0,0.0,0.0,0,2,0,0,4,35,2.1,139,9,56,55,29,1,139,1,0,0.0,1,100.0,68,374,224,6,3,1,1,0,77,6,35,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,73
9,36,Sergio Araujo,0.4,2,4.62,0,0,2,0,0,0,0,0.00,0,0,0,0,0,0,36,0.4,3,2,0,0,3,1,1,100.0,0,0,0,0,0,3,0,0,36,0.4,20,21,95.2,253,39,15,15,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,0,36,0.4,28,0,1,13,14,1,28,2,2,100.0,0,0.0,19,72,26,0,1,0,2,1,21,4,36,0.4,0,2,0,0.0,4.62,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,75
