,Rk,Player,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Rk,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Rk,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Rk,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Rk,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,VAL
0,6,Jordi Alba,24.3,45,1.85,44,1,0,0,0,0,5,0.21,5,0,0,0,0,0,6,24.3,25,14,10,9,6,8,30,26.7,22,231,68,29.4,89,95,47,40,5,0,35,25,50,42,1,6,24.3,1864,2141,87.1,30216,9516,976,1055,92.5,713,797,89.5,140,203,69.0,5,3.3,+1.7,28,125,38,18,141,6,24.3,2322,76,476,1119,830,65,2125,10,19,52.6,12,2,1617,6152,3153,143,27,10,10,7,1907,1762,92.4,108,6,24.3,2,7,3,42.9,0.29,0.12,0.29,0.67,16.0,0,0,0,1.1,1.1,0.15,+0.9,+0.9,86
1,16,Ibrahim Amadou,8.6,2,0.23,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,16,8.6,16,9,7,9,0,3,10,30.0,7,161,42,26.1,53,90,18,7,0,0,7,5,21,8,0,16,8.6,231,292,79.1,3864,785,116,139,83.5,94,112,83.9,17,29,58.6,0,0.0,0.0,1,17,1,1,14,16,8.6,343,7,71,225,67,6,341,3,4,75.0,3,0,207,958,447,22,8,1,5,5,250,217,86.8,20,16,8.6,0,4,0,0.0,0.47,0.00,0.00,,14.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,76
2,21,Antoñito,11.4,19,1.66,16,1,0,0,0,2,0,0.00,0,0,0,0,0,0,21,11.4,25,16,18,7,0,12,27,44.4,15,150,49,32.7,88,47,15,24,0,0,24,19,44,25,0,21,11.4,321,452,71.0,5686,2457,137,167,82.0,145,189,76.7,33,82,40.2,0,1.6,-1.6,10,25,9,4,31,21,11.4,574,37,199,261,150,10,478,6,16,37.5,8,1,308,1885,1186,53,20,5,10,5,355,305,85.9,23,21,11.4,0,1,0,0.0,0.09,0.00,0.00,,8.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,72
3,24,Mauro Arambarri,34.1,37,1.09,19,7,2,4,5,0,4,0.12,3,1,0,0,0,0,24,34.1,74,49,28,38,8,21,64,32.8,43,799,206,25.8,169,516,114,69,6,0,63,26,100,49,0,24,34.1,649,972,66.8,14045,3442,214,301,71.1,268,368,72.8,146,250,58.4,1,1.6,-0.6,13,93,20,5,85,24,34.1,1363,54,241,851,349,26,1318,29,43,67.4,32,2,748,3964,1493,66,20,5,35,39,722,613,84.9,61,24,34.1,1,46,7,15.2,1.35,0.21,0.02,0.14,24.7,4,0,0,2.0,2.0,0.04,-1.0,-1.0,58
4,27,Anaitz Arbilla,22.3,20,0.90,15,3,0,2,0,0,2,0.09,2,0,0,0,0,0,27,22.3,33,20,23,9,1,12,38,31.6,26,162,57,35.2,86,62,14,38,6,0,32,15,48,136,2,27,22.3,870,1169,74.4,21846,6948,234,277,84.5,381,441,86.4,247,422,58.5,0,0.1,-0.1,4,101,10,5,83,27,22.3,1412,106,524,819,169,11,1266,4,6,66.7,4,0,751,5302,2321,67,18,1,8,10,740,714,96.5,11,27,22.3,1,14,2,14.3,0.63,0.09,0.07,0.50,24.7,3,0,0,0.8,0.8,0.06,+0.2,+0.2,75
5,29,Santiago Arias,12.0,21,1.76,18,2,0,1,0,0,2,0.17,2,0,0,0,0,0,29,12.0,30,17,19,10,1,11,21,52.4,10,124,47,37.9,66,42,16,28,7,0,21,9,39,35,0,29,12.0,498,653,76.3,8487,3889,223,255,87.5,231,282,81.9,36,91,39.6,1,1.1,-0.1,10,28,21,7,69,29,12.0,780,47,216,362,243,19,667,4,7,57.1,5,0,437,2001,1087,58,18,2,7,4,488,449,92.0,38,29,12.0,0,6,2,33.3,0.50,0.17,0.00,0.00,19.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,81
6,32,Sergio Asenjo,34.0,3,0.09,2,1,0,0,0,0,1,0.03,1,0,0,0,0,0,32,34.0,0,0,0,0,0,0,1,0.0,1,1,1,100.0,1,0,0,0,0,0,0,0,0,1,0,32,34.0,742,1039,71.4,22188,12548,124,125,99.2,337,341,98.8,279,571,48.9,0,0.0,0.0,0,8,0,0,0,32,34.0,1123,1026,1121,3,0,0,752,1,1,100.0,1,0,482,1954,963,0,0,0,0,0,447,446,99.8,0,32,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,82
7,33,Marco Asensio,3.7,11,2.95,8,0,2,1,0,0,1,0.27,1,0,0,0,0,0,33,3.7,5,4,3,2,0,1,6,16.7,5,34,11,32.4,12,13,9,2,0,0,2,2,7,3,0,33,3.7,134,163,82.2,2312,451,77,85,90.6,38,51,74.5,16,22,72.7,1,1.0,0.0,7,6,7,2,12,33,3.7,203,3,26,93,97,17,198,6,8,75.0,7,0,155,807,362,26,5,3,6,8,218,165,75.7,25,33,3.7,3,9,5,55.6,2.41,1.34,0.33,0.60,15.4,1,0,0,1.7,1.7,0.19,+1.3,+1.3,82
8,34,Iago Aspas,36.2,107,2.95,76,1,10,5,11,4,12,0.33,6,0,4,0,2,0,34,36.2,29,21,7,11,11,12,34,35.3,22,537,146,27.2,80,222,235,24,4,0,20,19,48,6,0,34,36.2,998,1283,77.8,15853,3046,541,643,84.1,312,386,80.8,89,130,68.5,3,4.1,-1.1,54,71,46,4,96,34,36.2,1676,13,133,882,794,165,1585,60,97,61.9,67,1,1235,7020,3871,190,66,36,69,70,1959,1317,67.2,350,34,36.2,14,78,31,39.7,2.15,0.86,0.12,0.29,16.8,11,5,7,13.9,8.6,0.11,+0.1,+0.4,84
9,36,Miguel Atienza,0.3,1,3.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,36,0.3,1,1,0,1,0,1,1,100.0,0,15,4,26.7,6,6,3,2,1,0,1,1,2,2,0,36,0.3,10,14,71.4,169,20,6,7,85.7,3,4,75.0,1,2,50.0,0,0.0,0.0,0,2,0,0,0,36,0.3,21,1,5,12,5,3,21,0,0,,0,0,12,56,12,0,0,0,1,0,13,12,92.3,2,36,0.3,0,1,0,0.0,3.00,0.00,0.00,,10.8,0,0,0,0.0,0.0,0.04,0.0,0.0,58
