,ID,NAME,NATION,POSITION,TEAM,AGE,90S,SCA,SCA90,GCA,GCA90,TACKLES,TACKLESWIN,VSDRIBLETACKLE,%VSDRIBLETACKLE,BLOCKS,INTERCEPTIONS,TOTALPASSES,%TOTALPASSES,ASSIST,SHOTPASSES,TOTALTOUCHES,TOTALDRIBBLES,%TOTALDRIBBLES,DISTANCE,GOALS,SHOTS,SHOTSONTARGET,FREEKICKS,VAL
0,4,Aritz Aduriz,es ESP,FW,Athletic Club,36,23.9,35,1.46,2,0.08,11,8,1,16.7,6,3,337,65.1,1,11,702,24,79.2,1876,9,56,23,0,83
1,6,Imanol Agirretxe,es ESP,FW,Real Sociedad,30,2.6,2,0.78,2,0.78,0,0,0,0.0,0,0,38,63.3,0,0,78,3,100.0,154,0,6,2,0,73
2,9,David Alba,es ESP,DF,Getafe,18,0.7,0,0.00,0,0.00,1,1,1,100.0,0,0,7,77.8,0,0,17,0,,19,0,0,0,0,63
3,10,Jordi Alba,es ESP,DF,Barcelona,28,30.5,64,2.10,11,0.36,63,42,26,50.0,34,68,2074,85.8,8,38,2688,33,69.7,5855,2,15,5,0,87
4,12,Paco Alcacer,es ESP,MFFW,Barcelona,23,7.7,15,1.94,5,0.65,4,3,0,0.0,5,11,188,80.3,3,10,297,10,30.0,588,4,15,7,0,79
5,13,Pedro Alcala,es ESP,DF,Girona,28,7.7,6,0.78,0,0.00,9,5,1,33.3,7,14,208,70.5,0,1,379,5,100.0,731,1,8,3,1,75
6,15,Alex Alegria,es ESP,FW,Levante,24,7.0,11,1.58,2,0.29,8,5,2,33.3,7,4,111,67.7,0,3,255,6,16.7,446,0,14,2,0,71
7,16,Ivan Alejo,es ESP,MFFW,Eibar,22,12.2,31,2.53,3,0.25,20,16,1,10.0,9,5,182,53.5,3,17,500,72,45.8,2863,1,13,3,0,76
8,19,Jose Alonso Lara,es ESP,MF,Sevilla,17,0.1,0,0.00,0,0.00,0,0,0,,0,0,3,75.0,0,0,5,1,100.0,50,0,0,0,0,73
9,20,Sergio Alvarez,es ESP,GK,Celta Vigo,30,16.4,3,0.18,0,0.00,0,0,0,0.0,1,0,424,67.7,0,1,671,1,100.0,1627,0,0,0,0,76
10,21,Yeray Alvarez,es ESP,DF,Athletic Club,22,7.5,11,1.47,1,0.13,12,7,6,66.7,8,11,385,82.3,0,2,522,5,80.0,1928,0,1,0,0,77
11,23,Jordi Amat,id IDN,DFMF,Betis,25,22.7,18,0.79,1,0.04,32,23,11,45.8,14,38,1444,89.7,0,5,1791,22,81.8,6324,0,7,1,0,76
12,26,Jon Ander Serantes,es ESP,GK,Leganés,27,1.0,0,0.00,0,0.00,0,0,0,,0,0,12,36.4,0,0,36,0,,128,0,0,0,0,76
13,30,Miguel Angel Moya,es ESP,GK,Real Sociedad,33,8.5,1,0.12,1,0.12,0,0,0,0.0,0,2,274,75.9,0,0,380,0,,1191,0,0,0,0,80
14,31,Miguel Angel Rubio,es ESP,DF,Getafe,19,0.3,0,0.00,0,0.00,0,0,0,,0,0,3,30.0,0,0,14,0,,10,0,0,0,0,58
15,32,Vitorino Antunes,pt POR,DF,Getafe,30,31.1,59,1.90,5,0.16,58,44,38,51.4,31,58,862,63.1,2,28,1711,39,46.2,3619,0,29,3,10,80
16,34,Mauro Arambarri,uy URU,MF,Getafe,21,23.6,25,1.06,2,0.08,56,41,14,29.8,26,25,435,69.2,1,9,843,24,54.2,2094,1,21,3,1,76
17,35,Guilherme Arana,br BRA,DF,Sevilla,20,2.1,2,0.93,0,0.00,4,2,1,100.0,0,5,105,85.4,0,0,139,1,0.0,374,0,0,0,0,73
18,36,Sergio Araujo,ar ARG,MFFW,Las Palmas,25,0.4,2,4.62,0,0.00,3,2,1,100.0,0,0,20,95.2,0,0,28,2,100.0,72,0,2,0,0,75
19,37,Anaitz Arbilla,es ESP,DF,Eibar,30,26.8,39,1.45,5,0.19,38,30,21,52.5,21,78,1235,79.2,1,8,1829,21,95.2,6787,2,17,4,8,78
20,38,Jose Arnaiz,es ESP,MF,Barcelona,22,0.1,0,0.00,0,0.00,1,1,0,,0,0,3,75.0,0,0,6,0,,4,0,0,0,0,70
21,42,Sergio Asenjo,es ESP,GK,Villarreal,28,23.0,2,0.09,1,0.04,2,2,1,20.0,0,0,406,61.8,0,0,714,1,100.0,2090,0,0,0,0,84
22,43,Marco Asensio,es ESP,FWMF,Real Madrid,21,20.5,107,5.22,11,0.54,26,17,11,42.3,15,9,1062,84.0,6,52,1430,45,68.9,7322,6,56,22,3,85
23,44,Iago Aspas,es ESP,FW,Celta Vigo,29,32.6,136,4.17,19,0.58,26,22,5,14.7,15,23,992,75.4,5,69,1633,92,63.0,6441,22,91,40,6,85
24,45,Carlos Bacca,co COL,FW,Villarreal,30,27.7,75,2.70,14,0.50,10,2,1,8.3,16,8,388,72.1,6,30,750,53,66.0,2443,15,72,33,0,82
25,48,Gareth Bale,wls WAL,FWMF,Real Madrid,28,20.0,71,3.55,9,0.45,19,13,3,21.4,13,12,603,77.4,2,41,998,52,59.6,4066,16,76,31,4,88
26,49,Mikel Balenziaga,es ESP,DF,Athletic Club,29,17.2,17,0.99,2,0.12,34,24,15,55.6,24,17,599,75.7,2,7,971,24,58.3,2324,0,3,0,0,75
27,50,Ever Banega,ar ARG,MF,Sevilla,29,26.7,144,5.40,6,0.23,71,53,22,34.9,23,12,1896,82.1,3,66,2554,121,68.6,9356,3,34,10,4,83
28,51,Leo Baptistão,br BRA,FWMF,Espanyol,24,29.7,71,2.39,8,0.27,54,34,13,25.0,22,23,473,65.1,3,25,1090,79,38.0,3871,8,79,26,0,79
29,52,Mariano Barbosa,ar ARG,GK,Villarreal,33,12.5,1,0.08,0,0.00,0,0,0,,0,1,225,67.2,0,0,365,0,,779,0,0,0,0,76
30,53,Enis Bardhi,mk MKD,MF,Levante,22,17.6,57,3.25,6,0.34,39,26,10,26.3,11,16,520,76.1,1,23,875,43,58.1,2740,9,37,13,16,78
31,54,Antonio Barragan,es ESP,DF,Betis,30,26.4,48,1.82,12,0.46,59,42,24,66.7,22,24,1293,79.9,6,21,1860,37,37.8,3971,0,9,4,0,77
32,55,Barri,es ESP,MFFW,Getafe,21,1.3,2,1.59,0,0.00,1,0,0,0.0,1,1,10,62.5,0,0,24,3,100.0,94,0,1,1,0,61
33,56,Marc Bartra,es ESP,DF,Betis,26,15.8,18,1.14,0,0.00,38,28,21,53.8,19,32,939,85.4,0,5,1316,24,91.7,4697,1,13,4,1,82
34,57,Borja Baston,es ESP,FW,Málaga,24,10.9,21,1.92,2,0.18,9,7,1,7.7,7,3,171,72.5,0,4,329,10,30.0,744,2,25,8,0,75
35,58,Jon Bautista,es ESP,FWMF,Real Sociedad,22,2.0,3,1.49,1,0.50,0,0,0,0.0,2,0,27,77.1,0,1,51,1,100.0,122,1,7,3,0,71
36,60,Claudio Beauvue,gp GLP,FW,Leganés,29,18.6,36,1.94,3,0.16,5,3,1,8.3,7,2,208,64.8,0,9,487,23,56.5,1117,2,39,9,0,75
37,61,Bebe,cv CPV,MFFW,Eibar,27,4.1,11,2.73,0,0.00,9,7,3,37.5,5,3,84,56.4,1,8,198,17,47.1,882,0,9,1,1,75
38,62,Wissam Ben Yedder,fr FRA,FW,Sevilla,26,18.9,58,3.07,9,0.48,12,8,1,50.0,10,5,371,77.1,3,28,635,30,53.3,1993,9,48,25,1,81
39,63,Karim Benzema,fr FRA,FW,Real Madrid,29,23.9,92,3.85,23,0.96,14,8,3,15.0,18,8,723,82.1,10,44,1070,49,67.3,3556,5,61,15,0,84
40,64,Markel Bergara,es ESP,MF,Getafe,31,16.3,9,0.55,2,0.12,35,22,7,28.0,10,23,278,70.0,1,2,524,2,100.0,671,4,16,9,0,77
41,65,Pedro Bigas,es ESP,DF,Las Palmas,26,9.9,11,1.11,0,0.00,14,9,7,53.8,18,16,522,87.6,0,5,693,12,83.3,2487,0,4,1,0,75
42,66,Ruben Blanco,es ESP,GK,Celta Vigo,22,21.6,1,0.05,0,0.00,0,0,0,0.0,1,3,507,61.9,0,0,878,0,,2169,0,0,0,0,77
43,67,Emmanuel Boateng,gh GHA,FW,Levante,21,14.2,37,2.61,7,0.49,4,3,0,0.0,8,5,143,62.7,0,7,384,24,62.5,1104,6,42,15,0,76
44,68,Daniele Bonera,it ITA,DF,Villarreal,36,13.2,5,0.38,1,0.08,16,11,10,66.7,17,12,493,86.6,1,3,698,1,100.0,1871,0,2,0,0,76
45,70,Ryad Boudebouz,dz ALG,MFFW,Betis,27,15.1,56,3.71,6,0.40,32,18,6,23.1,18,7,661,76.7,3,26,1013,64,59.4,3306,2,19,12,2,80
46,71,Yassine Bounou,ma MAR,GK,Girona,26,29.5,4,0.14,0,0.00,1,1,0,0.0,0,4,444,50.5,0,0,948,1,100.0,2813,0,0,0,0,77
47,77,Burgui,es ESP,MFFW,Alavés,23,11.5,46,4.00,4,0.35,10,5,2,33.3,5,7,271,74.2,0,18,459,36,58.3,2008,1,15,4,1,75
48,78,Sergio Busquets,es ESP,MF,Barcelona,29,28.8,60,2.08,10,0.35,88,48,39,49.4,37,51,2031,90.3,4,24,2459,23,78.3,5413,1,5,3,0,88
49,79,Unai Bustinza,es ESP,DF,Leganés,25,18.2,16,0.88,1,0.05,36,21,21,55.3,17,47,540,78.1,0,4,885,6,50.0,1898,2,15,9,0,75
50,80,Erick Cabaco,uy URU,DF,Levante,22,11.6,5,0.43,1,0.09,25,14,14,70.0,10,17,232,71.6,0,1,449,4,50.0,795,0,2,2,0,75
51,81,Gustavo Cabral,ar ARG,DF,Celta Vigo,31,21.0,13,0.62,1,0.05,29,21,14,36.8,22,43,1134,88.4,1,2,1499,1,100.0,3449,1,10,2,0,77
52,82,Leandro Cabrera,uy URU,DF,Getafe,26,8.0,9,1.13,0,0.00,19,10,7,41.2,9,22,151,50.8,0,2,381,3,100.0,499,0,2,1,0,72
53,87,Jose Campaña,es ESP,MF,Levante,24,30.4,100,3.28,8,0.26,57,36,19,32.8,31,45,1352,79.9,4,49,1955,64,56.3,6500,1,22,8,1,79
54,89,Sergio Canales,es ESP,MFFW,Real Sociedad,26,21.4,129,6.03,11,0.51,30,24,9,28.1,25,11,1050,78.7,5,57,1540,68,67.6,6749,4,66,15,6,79
55,91,Ander Capa,es ESP,DF,Eibar,25,25.0,44,1.76,5,0.20,57,38,25,65.8,21,52,1062,71.2,1,14,1764,61,55.7,5224,0,6,1,0,78
56,94,Daniel Carriço,pt POR,DF,Sevilla,28,5.1,3,0.59,0,0.00,7,7,4,57.1,6,10,214,85.9,0,2,291,0,,726,0,2,0,0,78
57,96,Dani Carvajal,es ESP,DF,Real Madrid,25,24.7,70,2.84,5,0.20,59,40,22,57.9,33,38,1595,84.0,2,36,2127,46,69.6,5469,0,13,6,0,84
58,97,Casemiro,br BRA,MF,Real Madrid,25,28.8,68,2.36,11,0.38,109,78,42,50.0,56,63,1545,87.7,3,23,2102,17,64.7,4719,5,32,12,2,88
59,98,Kiko Casilla,es ESP,GK,Real Madrid,30,10.0,0,0.00,0,0.00,1,0,1,100.0,0,2,211,78.7,0,0,289,0,,610,0,0,0,0,80
60,105,Dani Ceballos,es ESP,MF,Real Madrid,20,4.5,20,4.49,3,0.67,8,7,4,25.0,6,5,353,92.9,0,4,425,20,55.0,2009,2,7,4,0,78
61,108,Charles,br BRA,FW,Eibar,33,17.6,35,1.99,5,0.28,11,8,1,12.5,7,7,286,67.5,1,17,559,10,40.0,935,8,44,15,0,79
62,109,Chema,es ESP,DF,Levante,25,22.4,10,0.45,2,0.09,20,13,9,50.0,43,30,535,77.2,1,4,904,1,100.0,1515,1,7,3,0,74
63,110,Denis Cheryshev,ru RUS,MFFW,Villarreal,26,10.3,33,3.21,2,0.19,27,16,6,26.1,18,13,224,67.1,1,17,484,33,48.5,2207,2,29,9,0,77
64,111,Leandro Chichizola,ar ARG,GK,Las Palmas,27,27.0,5,0.19,0,0.00,2,0,2,33.3,0,4,807,70.7,0,1,1237,5,100.0,3800,0,0,0,0,77
65,114,Jasper Cillessen,nl NED,GK,Barcelona,28,1.0,0,0.00,0,0.00,0,0,0,,0,0,25,80.6,0,0,34,0,,79,0,0,0,0,81
66,115,Coke,es ESP,DF,Levante,30,15.4,25,1.63,4,0.26,35,23,18,46.2,17,34,543,72.6,0,11,935,28,67.9,2555,3,11,5,0,78
67,117,Francis Coquelin,fr FRA,MFDF,Valencia,26,7.3,11,1.51,1,0.14,18,14,9,56.3,9,20,256,82.6,0,2,392,18,77.8,857,1,4,3,0,79
68,118,Sebastien Corchia,fr FRA,DF,Sevilla,26,9.1,14,1.53,1,0.11,18,13,9,56.3,18,16,305,76.8,1,5,495,10,50.0,1143,0,5,3,1,75
