,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,65d62814
2,Aday,es ESP,DFMF,Girona,30,1987,7.2,25,3.49,14,5,3,2,1,0,2,0.28,2,0,0,0,0,0,Matches,5890cef1
3,Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,10.5,15,1.43,13,0,0,1,1,0,1,0.10,1,0,0,0,0,0,Matches,293211e1
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,26.5,41,1.54,28,3,2,1,7,0,7,0.26,4,0,0,0,3,0,Matches,cacadf4f
5,Martin Agirregabiria,es ESP,DF,Alavés,22,1996,22.6,22,0.97,20,0,1,0,0,1,1,0.04,1,0,0,0,0,0,Matches,355c883a
6,Juan Aguilera,es ESP,MF,Huesca,32,1985,3.8,5,1.31,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,18dc8533
7,Carlos Akapo,gq EQG,DF,Huesca,25,1993,11.4,16,1.41,10,1,3,1,1,0,2,0.18,1,0,0,0,1,0,Matches,f2a68b97
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2.0,2,1.00,1,1,0,0,0,0,1,0.50,1,0,0,0,0,0,Matches,06efa9dc
9,Jordi Alba,es ESP,DF,Barcelona,29,1989,33.2,81,2.44,73,1,2,0,4,1,15,0.45,14,0,0,0,1,0,Matches,4601e194
10,Pedro Alcalá,es ESP,DF,Girona,29,1989,20.8,12,0.58,10,0,0,2,0,0,2,0.10,2,0,0,0,0,0,Matches,ba71d071
11,Rubén Alcaraz,es ESP,MF,Valladolid,27,1991,33.1,56,1.69,34,6,5,2,8,1,4,0.12,2,0,1,0,1,0,Matches,036bba5f
12,Álex Alegría,es ESP,FWMF,Rayo Vallecano,25,1992,1.6,5,3.21,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches,46166b49
13,Iván Alejo,es ESP,MFFW,Getafe,23,1995,1.6,2,1.23,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,3d7e48ce
14,Carles Aleñá,es ESP,MF,Barcelona,20,1998,7.1,24,3.39,22,0,0,1,1,0,5,0.71,4,0,0,1,0,0,Matches,6c811eb7
15,Alexander,ar ARG,DF,Leganés,29,1988,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3e1858af
16,Júnior Alonso,py PAR,DFMF,Celta Vigo,25,1993,6.0,5,0.84,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b18a3023
17,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8875b8c9
18,Sergio Álvarez,es ESP,MFDF,Eibar,26,1992,11.9,6,0.51,6,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,88d91621
19,Yeray Álvarez,es ESP,DF,Athletic Club,23,1995,29.0,5,0.17,2,1,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,3ecc11d8
20,Ibrahim Amadou,fr FRA,MFDF,Sevilla,25,1993,8.5,8,0.94,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9260926b
21,Jordi Amat,es ESP,DF,Rayo Vallecano,26,1992,30.7,15,0.49,11,1,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches,d70a2141
22,Amath,sn SEN,MFFW,Getafe,22,1996,11.1,25,2.25,19,0,1,2,2,1,2,0.18,1,0,0,1,0,0,Matches,f3b1d9a2
23,José Ángel,es ESP,DF,Eibar,28,1989,33.6,87,2.59,52,26,3,2,2,2,6,0.18,5,1,0,0,0,0,Matches,3024e383
24,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,011d8c56
25,Antoñito,es ESP,DFMF,Valladolid,30,1987,20.7,44,2.13,35,2,4,0,2,1,2,0.10,1,0,1,0,0,0,Matches,dbe519cf
26,Vitorino Antunes,pt POR,DF,Getafe,31,1987,24.2,58,2.39,31,17,3,3,1,3,5,0.21,5,0,0,0,0,0,Matches,3e4f735d
27,Anuar,ma MAR,MF,Valladolid,23,1995,12.0,6,0.50,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,c93231dc
28,Emmanuel Apeh,ng NGA,MF,Celta Vigo,21,1996,0.2,1,6.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a230ebcc
29,Mauro Arambarri,uy URU,MF,Getafe,22,1995,29.7,32,1.08,22,1,2,0,7,0,3,0.10,1,1,0,0,1,0,Matches,58afe001
30,Guilherme Arana,br BRA,MFDF,Sevilla,21,1997,7.0,5,0.72,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2b15a82a
31,Néstor Araujo,mx MEX,DF,Celta Vigo,26,1991,29.8,14,0.47,12,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,27a013f7
32,Anaitz Arbilla,es ESP,DF,Eibar,31,1987,21.7,14,0.65,12,0,0,1,1,0,3,0.14,3,0,0,0,0,0,Matches,850c0a0d
33,Santiago Arias,co COL,DF,Atlético Madrid,26,1992,19.7,32,1.63,28,1,1,0,2,0,3,0.15,3,0,0,0,0,0,Matches,fdd60087
34,José Arnaiz,es ESP,DFMF,Leganés,23,1995,1.3,2,1.59,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,46e07328
35,Sergio Asenjo,es ESP,GK,Villarreal,29,1989,32.0,2,0.06,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9f0ea33f
36,Marco Asensio,es ESP,FW,Real Madrid,22,1996,19.8,62,3.14,47,4,4,2,5,0,11,0.56,7,0,1,0,3,0,Matches,45af8a54
37,Iago Aspas,es ESP,FW,Celta Vigo,30,1987,25.0,101,4.04,77,4,8,6,4,2,15,0.60,12,0,2,0,1,0,Matches,7dcf86f6
38,Ezequiel Ávila,ar ARG,FWMF,Huesca,24,1994,22.2,49,2.21,30,1,5,6,6,1,7,0.32,3,0,0,2,1,1,Matches,253a06b9
39,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,27,1991,23.4,6,0.26,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1f54ed90
40,Carlos Bacca,co COL,FW,Villarreal,31,1986,14.1,40,2.83,31,0,5,3,1,0,4,0.28,1,0,1,1,1,0,Matches,09a9e921
41,Gareth Bale,wls WAL,FW,Real Madrid,29,1989,19.8,44,2.22,30,1,6,3,4,0,8,0.40,6,0,1,1,0,0,Matches,a58bb1e1
42,Mikel Balenziaga,es ESP,DF,Athletic Club,30,1988,5.8,3,0.52,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1fe67e86
43,Éver Banega,ar ARG,MF,Sevilla,30,1988,29.6,110,3.71,76,25,4,1,2,2,11,0.37,9,2,0,0,0,0,Matches,fa937f7a
44,Léo Baptistão,br BRA,FWMF,Espanyol,25,1992,13.7,42,3.07,29,0,5,5,2,1,2,0.15,2,0,0,0,0,0,Matches,35f6db55
45,Enis Bardhi,mk MKD,MF,Levante,23,1995,31.5,70,2.22,53,4,5,2,5,1,8,0.25,6,1,1,0,0,0,Matches,cac2537b
