,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,65d62814
2,Aritz Aduriz,es ESP,FW,Athletic Club,38,1981,2.3,1,1,0,1,0,0,0,,0,16,4,25.0,4,5,7,0,0,0,0,0,1,3,0,Matches,293211e1
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,20.1,35,23,24,9,2,18,35,51.4,17,225,66,29.3,129,70,26,37,1,0,36,11,46,62,0,Matches,073b1b37
4,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,23.3,50,22,24,21,5,25,50,50.0,25,248,60,24.2,118,106,24,39,8,0,31,9,59,68,1,Matches,355c883a
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,27.8,40,26,28,11,1,8,28,28.6,20,304,108,35.5,218,79,7,42,16,0,26,33,73,162,1,Matches,18abe173
6,Jordi Alba,es ESP,DF,Barcelona,30,1989,24.3,25,14,10,9,6,8,30,26.7,22,231,68,29.4,89,95,47,40,5,0,35,25,50,42,1,Matches,4601e194
7,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36.0,50,33,31,18,1,18,33,54.5,15,278,85,30.6,172,102,4,40,21,0,19,17,67,254,4,Matches,4bd414c1
8,Paco Alcácer,es ESP,FW,Villarreal,25,1993,10.3,4,2,2,2,0,1,12,8.3,11,146,43,29.5,18,67,61,10,2,0,8,2,6,9,0,Matches,a7a9d95a
9,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,21.4,59,36,34,20,5,23,61,37.7,38,444,130,29.3,184,232,28,57,20,0,37,16,75,68,0,Matches,036bba5f
10,Álex Alegría,es ESP,FWMF,Mallorca,26,1992,1.2,1,0,0,1,0,0,0,,0,21,6,28.6,1,8,12,1,0,0,1,1,2,0,0,Matches,46166b49
11,Carles Aleñá,es ESP,MFFW,Betis,21,1998,8.2,20,11,4,10,6,7,20,35.0,13,137,26,19.0,34,69,34,9,2,0,7,1,21,4,0,Matches,6c811eb7
12,Carles Aleñá,es ESP,MF,Barcelona,21,1998,1.9,2,1,1,1,0,1,5,20.0,4,38,6,15.8,10,21,7,2,0,0,2,0,2,1,0,Matches,6c811eb7
13,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,8875b8c9
14,Sergio Álvarez,es ESP,MFDF,Eibar,27,1992,12.7,37,20,14,22,1,9,34,26.5,25,265,80,30.2,84,150,31,25,3,0,22,9,46,58,0,Matches,88d91621
15,Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,31.2,39,25,27,11,1,13,31,41.9,18,222,79,35.6,145,64,13,58,23,2,35,34,73,264,2,Matches,3ecc11d8
16,Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,8.6,16,9,7,9,0,3,10,30.0,7,161,42,26.1,53,90,18,7,0,0,7,5,21,8,0,Matches,9260926b
17,Amath,sn SEN,MF,Getafe,23,1996,0.7,2,0,1,0,1,0,4,0.0,4,36,10,27.8,8,16,12,1,0,0,1,1,3,1,0,Matches,f3b1d9a2
18,Miguel Ángel Guerrero,es ESP,FW,Leganés,29,1990,8.8,1,1,0,1,0,0,6,0.0,6,129,28,21.7,2,77,50,5,0,0,5,1,2,5,0,Matches,b35db3f6
19,José Ángel,es ESP,DF,Eibar,29,1989,26.2,62,31,30,29,3,25,43,58.1,18,251,83,33.1,107,109,35,40,6,0,34,27,89,102,0,Matches,3024e383
20,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,0,0,1,1,Matches,011d8c56
21,Antoñito,es ESP,DFMF,Valladolid,31,1987,11.4,25,16,18,7,0,12,27,44.4,15,150,49,32.7,88,47,15,24,0,0,24,19,44,25,0,Matches,dbe519cf
22,Vitorino Antunes,pt POR,MF,Getafe,32,1987,0.1,0,0,0,0,0,0,0,,0,2,1,50.0,1,0,1,1,0,0,1,0,0,0,0,Matches,3e4f735d
23,Anuar,ma MAR,MFFW,Valladolid,24,1995,2.1,4,4,2,2,0,1,3,33.3,2,37,7,18.9,13,21,3,6,3,0,3,3,7,1,0,Matches,c93231dc
24,Mauro Arambarri,uy URU,MF,Getafe,23,1995,34.1,74,49,28,38,8,21,64,32.8,43,799,206,25.8,169,516,114,69,6,0,63,26,100,49,0,Matches,58afe001
25,Néstor Araujo,mx MEX,DF,Celta Vigo,27,1991,32.1,47,27,37,9,1,15,32,46.9,17,217,71,32.7,144,64,9,43,22,0,21,38,85,205,0,Matches,27a013f7
26,Ronald Araújo,uy URU,DF,Barcelona,20,1999,2.6,4,2,2,2,0,3,4,75.0,1,26,8,30.8,18,8,0,9,3,0,6,0,4,11,0,Matches,2bef2bca
27,Anaitz Arbilla,es ESP,DF,Eibar,32,1987,22.3,33,20,23,9,1,12,38,31.6,26,162,57,35.2,86,62,14,38,6,0,32,15,48,136,2,Matches,850c0a0d
28,Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches,2f965a72
29,Santiago Arias,co COL,DF,Atlético Madrid,27,1992,12.0,30,17,19,10,1,11,21,52.4,10,124,47,37.9,66,42,16,28,7,0,21,9,39,35,0,Matches,fdd60087
30,José Arnaiz,es ESP,FWMF,Osasuna,24,1995,8.8,5,3,0,4,1,0,12,0.0,12,164,43,26.2,25,69,70,13,0,0,13,5,10,6,0,Matches,46e07328
