,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches,65d62814
2,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,4,4,180,2.0,1,0.50,4,3,75.0,1,1,0,2,50.0,0,0,0,0,,Matches,8875b8c9
3,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13,13,1170,13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,,Matches,011d8c56
4,Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4,4,360,4.0,5,1.25,13,10,76.9,3,1,0,1,25.0,2,2,0,0,0.0,Matches,2f965a72
5,Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34,34,3060,34.0,41,1.21,142,107,74.6,17,4,13,11,32.4,6,5,1,0,16.7,Matches,9f0ea33f
6,Rubén Blanco,es ESP,GK,Celta Vigo,24,1995,33,33,2960,32.9,43,1.31,126,87,69.8,6,14,13,10,30.3,5,5,0,0,0.0,Matches,967f34d3
7,Yassine Bounou,ma MAR,GK,Sevilla,28,1991,6,5,495,5.5,3,0.55,19,17,89.5,4,1,0,4,80.0,1,1,0,0,0.0,Matches,f6798fc3
8,Churripi,es ESP,GK,Valladolid,25,1994,3,3,244,2.7,3,1.11,13,10,76.9,1,0,2,1,33.3,0,0,0,0,,Matches,81a606fc
9,Jasper Cillessen,nl NED,GK,Valencia,30,1989,24,24,2096,23.3,30,1.29,102,78,76.5,10,7,7,5,20.8,8,6,2,0,25.0,Matches,04ac8285
10,Thibaut Courtois,be BEL,GK,Real Madrid,27,1992,34,34,3060,34.0,20,0.59,95,74,78.9,23,8,3,18,52.9,0,0,0,0,,Matches,1840e36d
11,Iván Cuéllar,es ESP,GK,Leganés,35,1984,27,27,2429,27.0,33,1.22,99,67,67.7,7,9,11,8,29.6,2,1,1,0,50.0,Matches,75751c99
12,Marko Dmitrović,rs SRB,GK,Eibar,27,1992,35,35,3150,35.0,51,1.46,113,67,58.4,9,9,17,10,28.6,5,4,1,0,20.0,Matches,ac295d9e
13,Jaume Doménech,es ESP,GK,Valencia,28,1990,15,14,1324,14.7,23,1.56,80,58,72.5,4,4,6,3,21.4,1,1,0,0,0.0,Matches,c9cb972b
14,Aarón Escandell,es ESP,GK,Granada,23,1995,3,3,270,3.0,3,1.00,13,10,76.9,1,0,2,1,33.3,0,0,0,0,,Matches,67669ce7
