,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
1,Luis Abram,pe PER,DF,Granada,25,1996,6.2,194,220,88.2,4320,1153,42,46,91.3,115,124,92.7,36,48,75.0,0,0.0,0.0,0,8,0,0,9,Matches,1f462f95
2,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,25.1,1564,1971,79.4,32212,11965,591,635,93.1,682,803,84.9,275,474,58.0,3,3.0,0.0,41,103,42,23,123,Matches,81442ecb
3,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,18.0,563,788,71.4,10437,5352,234,282,83.0,268,350,76.6,58,135,43.0,1,1.0,0.0,14,50,19,11,55,Matches,355c883a
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,61,82,74.4,1695,1037,14,14,100.0,30,30,100.0,16,37,43.2,0,0.0,0.0,0,1,0,0,0,Matches,a2c1a8d3
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,31,43,72.1,469,43,18,25,72.0,10,15,66.7,2,2,100.0,0,0.3,-0.3,1,2,0,0,2,Matches,4d034881
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,2,2,100.0,24,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,93b054dc
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,1263,1523,82.9,29021,8209,297,337,88.1,650,726,89.5,301,432,69.7,0,0.1,-0.1,3,100,7,1,99,Matches,18abe173
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,630,849,74.2,11828,4697,264,310,85.2,287,358,80.2,71,146,48.6,0,0.5,-0.5,9,26,16,9,37,Matches,f2a68b97
9,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,1.4,45,53,84.9,625,193,35,36,97.2,8,10,80.0,2,5,40.0,0,0.4,-0.4,3,3,5,1,6,Matches,b8bd60fe
10,Paul Akouokou,ci CIV,MF,Betis,23,1997,5.7,287,328,87.5,5344,1253,117,132,88.6,129,142,90.8,33,43,76.7,0,0.1,-0.1,3,28,2,0,28,Matches,31f5b89b
11,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,1804,1967,91.7,33608,10916,751,778,96.5,811,860,94.3,216,285,75.8,3,2.4,+0.6,22,132,18,5,102,Matches,05439de2
12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,414,580,71.4,9341,2515,137,155,88.4,168,220,76.4,97,175,55.4,1,1.1,-0.1,14,46,8,3,39,Matches,99ea2ddd
13,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,2336,2770,84.3,40855,15180,1085,1178,92.1,1002,1152,87.0,222,351,63.2,10,5.9,+4.1,58,231,64,18,254,Matches,4601e194
14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,1337,1528,87.5,31802,8859,283,306,92.5,720,772,93.3,319,418,76.3,0,0.1,-0.1,4,63,1,0,67,Matches,4bd414c1
15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,124,171,72.5,1692,318,72,88,81.8,31,46,67.4,7,10,70.0,3,1.7,+1.3,6,6,5,1,10,Matches,a7a9d95a
16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,551,654,84.3,11619,3313,211,231,91.3,212,238,89.1,116,163,71.2,0,1.1,-1.1,14,80,12,2,64,Matches,036bba5f
17,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,578,930,62.2,15121,6757,150,185,81.1,235,308,76.3,184,417,44.1,0,0.3,-0.3,5,76,7,0,76,Matches,bb08bce9
18,Iván Alejo,es ESP,MFFW,Cádiz,26,1995,11.8,202,343,58.9,3420,1403,111,137,81.0,56,88,63.6,28,92,30.4,2,2.3,-0.3,21,14,21,19,22,Matches,3d7e48ce
19,Carles Aleñá,es ESP,MF,Getafe,23,1998,25.8,689,860,80.1,12609,2508,320,360,88.9,258,313,82.4,99,152,65.1,2,1.6,+0.4,21,61,16,4,61,Matches,6c811eb7
20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21,2000,0.2,10,14,71.4,186,127,4,4,100.0,4,6,66.7,2,3,66.7,0,0.0,0.0,0,0,0,0,0,Matches,683a1d81
21,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,0.1,1,3,33.3,22,3,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,6f392eb8
22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,20.7,825,996,82.8,18382,6658,230,250,92.0,432,478,90.4,159,250,63.6,0,0.1,-0.1,2,56,4,0,61,Matches,3ecc11d8
23,Dani Alves,br BRA,DF,Barcelona,38,1983,12.2,920,1083,84.9,16220,5343,469,502,93.4,337,375,89.9,103,182,56.6,3,1.9,+1.1,24,101,27,13,60,Matches,c9e99e49
24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,0.9,27,40,67.5,447,165,15,19,78.9,9,12,75.0,3,7,42.9,1,0.0,+1.0,1,1,0,0,2,Matches,69c5633e
25,Amath,sn SEN,FWMF,Mallorca,25,1996,9.8,166,211,78.7,2387,600,98,114,86.0,42,59,71.2,13,15,86.7,1,0.4,+0.6,6,11,5,1,14,Matches,f3b1d9a2
26,Florin Andone,ro ROU,FW,Cádiz,28,1993,2.0,28,40,70.0,372,45,18,21,85.7,8,13,61.5,1,2,50.0,0,0.0,0.0,2,3,0,0,2,Matches,dc008610
27,José Ángel,es ESP,DF,Osasuna,31,1989,12.0,599,788,76.0,13525,6115,206,243,84.8,262,315,83.2,127,214,59.3,1,1.3,-0.3,8,65,22,11,72,Matches,3024e383
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,0.6,20,25,80.0,317,70,11,11,100.0,4,7,57.1,3,5,60.0,0,0.0,0.0,0,1,0,0,0,Matches,4a5f2032
29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,29.6,947,1262,75.0,21303,5331,348,411,84.7,339,410,82.7,241,388,62.1,5,1.9,+3.1,40,85,13,5,65,Matches,58afe001
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,29.1,1330,1520,87.5,29730,6600,331,364,90.9,710,762,93.2,281,372,75.5,0,0.2,-0.2,1,59,3,1,56,Matches,27a013f7
31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,25.2,1485,1643,90.4,31687,8608,405,426,95.1,827,875,94.5,240,323,74.3,0,0.4,-0.4,6,85,5,2,77,Matches,2bef2bca
32,Jesús Areso,es ESP,DF,Osasuna,22,1999,2.1,49,74,66.2,1027,518,16,17,94.1,24,38,63.2,9,19,47.4,0,0.0,0.0,1,4,0,0,3,Matches,94e01ec6
33,Matias Arezo,uy URU,FW,Granada,18,2002,1.8,23,39,59.0,316,138,15,23,65.2,6,10,60.0,1,2,50.0,0,0.3,-0.3,4,4,1,0,3,Matches,484ebdb0
34,Santiago Arias,co COL,DF,Granada,29,1992,4.9,164,223,73.5,2943,1285,63,77,81.8,80,106,75.5,18,33,54.5,0,0.4,-0.4,5,10,4,3,14,Matches,fdd60087
35,Santiago Arzamendia,py PAR,MFDF,Cádiz,23,1998,5.2,109,170,64.1,1801,516,51,63,81.0,43,58,74.1,9,37,24.3,0,0.0,0.0,1,4,4,3,5,Matches,759d8dd7
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6.0,183,222,82.4,4919,2700,34,34,100.0,89,90,98.9,60,97,61.9,0,0.0,0.0,0,1,0,0,0,Matches,9f0ea33f
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,7,8,87.5,172,51,3,4,75.0,2,2,100.0,2,2,100.0,0,0.0,0.0,1,1,1,1,0,Matches,b4c23f36
38,Marco Asensio,es ESP,FWMF,Real Madrid,25,1996,19.2,740,904,81.9,12641,2393,391,438,89.3,243,275,88.4,85,146,58.2,0,2.3,-2.3,30,50,20,3,54,Matches,45af8a54
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,34.3,976,1357,71.9,15428,2883,558,679,82.2,274,383,71.5,95,180,52.8,5,6.2,-1.2,60,42,42,10,76,Matches,7dcf86f6
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,12.0,184,244,75.4,2668,265,103,136,75.7,63,79,79.7,6,9,66.7,1,1.0,0.0,7,6,8,0,12,Matches,d5dd5f1f
41,Ludwig Augustinsson,se SWE,DF,Sevilla,27,1994,8.8,452,560,80.7,7974,2619,214,230,93.0,182,205,88.8,50,107,46.7,1,0.6,+0.4,10,21,8,4,16,Matches,9fec8860
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,11.2,627,734,85.4,11498,3965,250,282,88.7,302,343,88.0,64,86,74.4,1,1.2,-0.2,7,36,15,7,50,Matches,5c2b4f07
43,Ezequiel Ávila,ar ARG,FWMF,Osasuna,27,1994,20.8,307,545,56.3,6178,1873,128,191,67.0,119,191,62.3,53,122,43.4,1,1.3,-0.3,17,30,24,17,45,Matches,253a06b9
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,21.5,623,775,80.4,12803,3801,213,254,83.9,280,324,86.4,117,162,72.2,0,0.3,-0.3,8,59,9,1,67,Matches,bfd381b3
45,Carlos Bacca,co COL,FW,Granada,34,1986,5.7,71,109,65.1,1137,273,34,45,75.6,25,41,61.0,7,12,58.3,1,0.5,+0.5,5,7,4,0,9,Matches,09a9e921
46,Édgar Badía,es ESP,GK,Elche,29,1992,24.0,560,829,67.6,19657,13179,84,86,97.7,201,203,99.0,274,538,50.9,0,0.0,0.0,0,6,0,0,0,Matches,e4346678
47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,0.0,4,5,80.0,68,10,2,2,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches,a98f3cbf
48,Alejandro Balde,es ESP,DFFW,Barcelona,17,2003,2.1,140,152,92.1,2156,435,73,73,100.0,58,64,90.6,5,9,55.6,0,0.1,-0.1,1,3,4,1,10,Matches,5ccc9672
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,3.1,48,64,75.0,784,203,24,30,80.0,20,24,83.3,3,7,42.9,0,0.0,0.0,1,4,3,0,9,Matches,a58bb1e1
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,22.5,766,1004,76.3,12992,5167,372,416,89.4,317,409,77.5,59,136,43.4,0,0.5,-0.5,8,41,12,4,72,Matches,1fe67e86
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35.0,1373,1796,76.4,26205,12003,584,654,89.3,579,726,79.8,188,340,55.3,2,4.0,-2.0,43,94,39,29,138,Matches,cee88597
52,Barbero,es ESP,MFFW,Osasuna,22,1998,0.2,6,13,46.2,63,0,6,11,54.5,0,2,0.0,0,0,,0,0.0,0.0,1,0,0,0,0,Matches,981c1863
53,Barcia,es ESP,DF,Granada,20,2000,0.8,8,22,36.4,180,2,2,3,66.7,4,11,36.4,2,8,25.0,0,0.0,0.0,0,0,0,0,0,Matches,0c717ae6
54,Enis Bardhi,mk MKD,MFFW,Levante,26,1995,18.9,531,750,70.8,9680,2927,253,291,86.9,179,239,74.9,76,161,47.2,3,3.3,-0.3,39,48,20,3,58,Matches,cac2537b
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,16.5,750,872,86.0,13839,3336,322,350,92.0,313,353,88.7,98,135,72.6,1,1.0,0.0,9,80,6,1,63,Matches,03049c8c
56,Kike Barja,es ESP,MFFW,Osasuna,24,1997,9.6,263,382,68.8,4674,1140,128,159,80.5,97,134,72.4,31,62,50.0,0,0.6,-0.6,5,21,9,1,32,Matches,aad53e64
57,Antonio Barragán,es ESP,DF,Elche,34,1987,11.3,426,537,79.3,8461,3920,137,149,91.9,228,265,86.0,54,106,50.9,0,0.1,-0.1,2,26,4,1,38,Matches,487d9b09
58,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,19,2001,6.1,136,187,72.7,2121,569,70,86,81.4,49,64,76.6,10,16,62.5,1,1.0,0.0,8,5,8,1,14,Matches,200e89e1
59,Marc Bartra,es ESP,DF,Betis,30,1991,22.1,919,1108,82.9,21052,6768,238,261,91.2,489,526,93.0,184,303,60.7,0,0.1,-0.1,6,69,3,0,56,Matches,b742cc0d
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,2.2,42,53,79.2,733,86,22,25,88.0,15,16,93.8,5,10,50.0,0,0.0,0.0,0,2,0,0,1,Matches,42a028c5
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,13.1,435,526,82.7,7253,2094,215,236,91.1,158,191,82.7,49,72,68.1,0,0.1,-0.1,4,33,1,0,37,Matches,d637fc22
62,Jon Bautista,es ESP,FWMF,Real Sociedad,26,1995,0.5,6,8,75.0,81,21,4,5,80.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,1,0,2,Matches,debc6b55
63,Bebé,cv CPV,FWMF,Rayo Vallecano,31,1990,9.6,211,342,61.7,3999,1039,103,122,84.4,68,107,63.6,34,89,38.2,2,1.9,+0.1,16,13,11,5,18,Matches,d8712bf9
64,Héctor Bellerín,es ESP,DF,Betis,26,1995,22.0,813,1064,76.4,13375,5458,422,494,85.4,299,379,78.9,72,127,56.7,2,2.4,-0.4,26,54,20,3,69,Matches,f874dd44
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,28.9,1728,1904,90.8,35773,6495,593,646,91.8,811,861,94.2,299,343,87.2,0,0.6,-0.6,12,126,7,2,89,Matches,ed5c5fa3
66,Darío Benedetto,ar ARG,FW,Elche,31,1990,6.6,77,114,67.5,1537,371,38,55,69.1,24,36,66.7,14,19,73.7,1,0.9,+0.1,5,11,4,0,14,Matches,bef0a7ac
67,Iker Benito,es ESP,MFFW,Osasuna,18,2002,1.3,22,29,75.9,271,106,13,15,86.7,6,10,60.0,0,0,,0,0.1,-0.1,1,2,1,1,2,Matches,50cbc806
68,Pedro Benito,es ESP,FW,Cádiz,21,2000,0.3,4,6,66.7,60,12,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0,2,0,0,1,Matches,a7416105
69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,28.8,1058,1249,84.7,15601,3568,630,709,88.9,306,355,86.2,74,95,77.9,12,9.5,+2.5,61,66,84,4,137,Matches,70d74ece
70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,11.3,509,641,79.4,8813,4221,238,273,87.2,218,265,82.3,40,76,52.6,2,0.6,+1.4,6,47,12,7,63,Matches,b6e50615
71,Álex Berenguer,es ESP,MFFW,Athletic Club,26,1995,24.1,559,867,64.5,9012,3135,302,379,79.7,181,256,70.7,56,169,33.1,6,5.6,+0.4,44,33,26,13,66,Matches,dc1c2fce
72,Pedro Bigas,es ESP,DF,Elche,30,1990,17.2,812,937,86.7,17389,6413,242,261,92.7,425,459,92.6,139,204,68.1,0,0.3,-0.3,4,45,5,1,42,Matches,697295b1
73,Blanco,es ESP,MF,Real Madrid,21,2000,0.3,17,18,94.4,277,37,8,8,100.0,8,9,88.9,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches,506daeac
74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31.0,811,1072,75.7,24713,11905,107,108,99.1,396,401,98.8,304,559,54.4,2,0.6,+1.4,2,8,0,0,0,Matches,f6798fc3
75,Lucas Boyé,ar ARG,FW,Elche,25,1996,19.0,326,445,73.3,5044,752,181,223,81.2,89,124,71.8,35,55,63.6,3,1.8,+1.2,18,20,10,0,25,Matches,d49f3e6b
