,Name,Val
0,,65
1,,72
2,Angel Correa,82
3,,65
4,Antoine Griezmann,89
5,Andres Guardado,81
6,,74
7,Adnan Januzaj,79
8,Andriy Lunin,76
9,,64
10,Aïssa Mandi,80
11,,76
12,Allan Nyom,74
13,,72
14,,62
15,,69
16,,72
17,,76
18,,70
19,Arturo Vidal,84
20,,73
21,,65
22,,70
23,Abel Ruiz,68
24,Pedrosa,74
25,Adrian Dieguez,76
26,,64
27,Adrian Marin,72
28,,82
29,,81
30,,69
31,Aihen Muñoz,72
32,Aitor Fernandez,76
33,,61
34,,68
35,,76
36,,74
37,Aleix Vidal,76
38,Alex Alegria,72
39,Jose Pozo,69
40,Carles Aleña,76
41,,59
42,,62
43,Ander Guevara,69
44,Andres Fernandez,78
45,,67
46,,60
47,Antoñito,71
48,Vitorino Antunes,80
49,Anuar,75
50,Guilherme Arana,73
51,Anaitz Arbilla,77
52,,70
53,,70
54,Aritz Elustondo,77
55,Arthur Melo,84
56,,66
57,,65
58,Bernardo Espinosa,75
59,Mikel Balenziaga,74
60,Antonio Barragan,75
61,Ander Barrenetxea,67
62,Marc Bartra,83
63,,61
64,,70
65,,65
66,Beñat Etxebarria,81
67,Pedro Bigas,73
68,Borja Garces,65
69,Borja Iglesias,83
70,Borja Mayoral,77
71,Brahim Diaz,73
72,Brais Mendez,77
73,,72
74,Bruno Gonzalez,78
75,,77
76, Bryan,65
77,Burgui,74
78,Unai Bustinza,76
79,,74
80,Carlos Bacca,79
81,,72
82,Cheick Doukoure,72
83,Cristian Ganea,71
84,Clement Lenglet,85
85,Cristiano Piccini,77
86,Fernando Calero,78
87,Jose Campaña,80
88,Sergio Canales,84
89,Ander Capa,78
90,Carles Perez,67
91,Alejandro Blanco,65
92,,75
93,Carlos Isaac,64
94,,66
95,Carlos Soler,80
96,,61
97,Dani Carvajal,85
98,Casemiro,87
99,Charles,80
100,Chris Ramos,67
101,,65
102,,73
103,Coke,78
104,,79
105,,67
106,Cristian Tello,80
107,Marc Cucurella,75
108,Iñigo Cordoba,77
109,Darko Brašanac,75
110,Denis Cheryshev,79
111,Djene,83
112,Diego Lainez,72
113,,75
114,Dimitris Siovas,76
115, Damian Suarez,79
116,Daniel Torres,75
117,Daniel Wass,80
118,David Zurutuza,76
119,,63
120,Dani Garcia,81
121,,69
122,,64
123,,72
124,,62
125,,64
126,Daniel Carriço,78
127,,60
128,,58
129,,64
130,David Costas,72
131,,69
132,David Juncà,73
133,David Lopez,78
134,David Soria,82
135,,68
136,Oscar de Marcos,78
137,,65
138,Denis Suarez,78
139,,67
140,,79
141,Diego Costa,83
142,Diego Llorente,77
143,Diego Lopez,80
144,,61
145,Oscar Duarte,72
146,Didac Vilà,75
147,Emmanuel Apeh,69
148,Ever Banega,83
149,Enis Bardhi,78
150,,71
151,Erick Cabaco,75
152,,67
153,Ezequiel Garay,83
154,,91
155,,76
156,Ezequiel Avila,75
157,Enes Ünal,77
158,,62
159,,64
160,,76
161,Sandro Ramirez,60
162,,61
163,Emerson,71
164,,63
165,,67
166,Enric Gallego,74
167,Javier Eraso,74
168,Sergio Escudero,79
169,Xabier Etxeita,73
170,,63
171,,73
172,Francis Coquelin,80
173,,77
174,Facundo Ferreyra,77
175,,64
176,,70
177,,80
178,Fabian Orellana,79
179, Facundo Roncaglia,76
180,Federico Valverde,77
181,,69
