,short_name,league_name,player_positions,overall
10258,A. Abeid,Spain Primera Division,LB,65
3810,A. Budimir,Spain Primera Division,ST,72
254,A. Correa,Spain Primera Division,"RM, ST",82
10061,A. Grandi,Spain Primera Division,GK,65
22,A. Griezmann,Spain Primera Division,"CF, ST, LW",89
382,A. Guardado,Spain Primera Division,"CM, CDM, LM",81
2159,A. Isak,Spain Primera Division,ST,74
605,A. Januzaj,Spain Primera Division,"RW, RM",79
1259,A. Lunin,Spain Primera Division,GK,76
11244,A. Lupu,Spain Primera Division,ST,64
454,A. Mandi,Spain Primera Division,CB,80
1279,A. Ndiaye,Spain Primera Division,LM,76
2516,A. Nyom,Spain Primera Division,"RWB, RB",74
3752,A. Ramos,Spain Primera Division,ST,72
13389,A. Rațiu,Spain Primera Division,RB,62
6546,A. Sadiku,Spain Primera Division,ST,69
3575,A. Sedlar,Spain Primera Division,CB,72
1582,A. Szymanowski,Spain Primera Division,LM,76
5093,A. Trajkovski,Spain Primera Division,"CAM, LW, CF",70
142,A. Vidal,Spain Primera Division,"CM, CDM",84
2795,A. Zambo Anguissa,Spain Primera Division,"CDM, CM",73
10282,Aarón,Spain Primera Division,GK,65
5144,Abdón Prats,Spain Primera Division,"ST, LW",70
6652,Abel Ruiz,Spain Primera Division,"ST, LW",68
2151,Adrià Pedrosa,Spain Primera Division,LB,74
1470,Adrián,Spain Primera Division,"ST, LM",76
11277,Adrián López,Spain Primera Division,GK,64
3349,Adrián Marín,Spain Primera Division,LB,72
289,Aduriz,Spain Primera Division,ST,82
387,Adán,Spain Primera Division,GK,81
5789,Aguado,Spain Primera Division,"CM, CAM, CDM",69
3329,Aihen Muñoz,Spain Primera Division,"LB, LW",72
1359,Aitor,Spain Primera Division,GK,76
14152,Aitor Lorea,Spain Primera Division,"RM, LM",61
6775,Aitor Ruibal,Spain Primera Division,ST,68
1413,Alberto Moreno,Spain Primera Division,LB,76
2185,Aleix Febas,Spain Primera Division,"CM, CDM, CAM",74
1567,Aleix Vidal,Spain Primera Division,"RB, RM",76
3556,Alex Alegría,Spain Primera Division,ST,72
5749,Alex Pozo,Spain Primera Division,"LM, RM, CAM",69
1278,Aleñá,Spain Primera Division,"CM, RW, CAM",76
15711,Altamirano,Spain Primera Division,LW,59
13228,Altube,Spain Primera Division,GK,62
5753,Ander Guevara,Spain Primera Division,CM,69
867,Andrés Fernández,Spain Primera Division,GK,78
8150,Andrés Prieto,Spain Primera Division,GK,67
15148,Angel Sánchez,Spain Primera Division,LM,60
4523,Antoñito,Spain Primera Division,"RB, RM",71
518,Antunes,Spain Primera Division,LB,80
1670,Anuar,Spain Primera Division,"CDM, CAM, CM",75
2755,Arana,Spain Primera Division,"LM, LB",73
1218,Arbilla,Spain Primera Division,"CB, RB, LB",77
5473,Aridai,Spain Primera Division,"RM, ST, LM",70
5397,Aridane,Spain Primera Division,CB,70
1072,Aritz Elustondo,Spain Primera Division,"CB, RB",77
115,Arthur,Spain Primera Division,CM,84
9082,Arturo Molina,Spain Primera Division,"CAM, RM",66
10205,Avilés,Spain Primera Division,"RM, LM, CAM",65
1976,B. Espinosa,Spain Primera Division,CB,75
2492,Balenziaga,Spain Primera Division,LB,74
1922,Barragán,Spain Primera Division,"RB, RM",75
7762,Barrenetxea,Spain Primera Division,"ST, LW, RW",67
194,Bartra,Spain Primera Division,CB,83
14303,Bermejo,Spain Primera Division,"CAM, RW, LW",61
4976,Bernardo,Spain Primera Division,CB,70
10012,Berrocal,Spain Primera Division,CB,65
386,Beñat,Spain Primera Division,CM,81
2941,Bigas,Spain Primera Division,CB,73
9967,Borja Garcés,Spain Primera Division,ST,65
183,Borja Iglesias,Spain Primera Division,ST,83
1041,Borja Mayoral,Spain Primera Division,ST,77
2657,Brahim,Spain Primera Division,"LW, RW",73
1002,Brais Méndez,Spain Primera Division,"RM, CAM",77
3379,Brandon Thomas,Spain Primera Division,"ST, LM",72
913,Bruno,Spain Primera Division,"CM, CDM",78
