,Name,Val
0,,73
1,,68
2,Angel Correa,80
3,,62
4,Antoine Griezmann,89
5,Andres Guardado,82
6,Andrew Hjulsager,69
7,Adnan Januzaj,78
8,Anthony Lozano,74
9,,76
10,Aïssa Mandi,79
11,,77
12,,74
13,Armando Sadiku,69
14,Antonio Sanabria,79
15,,78
16,,68
17,Nacho Vidal,85
18,Axel Werner,72
19,Fabian Ruiz Peña,67
20, Aday,75
21,Adrian Dieguez,67
22,Adrian Marin,72
23,Aritz Aduriz,83
24,,83
25,Imanol Agirretxe,73
26,,70
27,Aitor Ruibal,72
28,,71
29,,67
30,,74
31,Alberto Redondo,62
32,Pedro Alcala,75
33,Aleix Garcia,70
34,Aleix Vidal,77
35,Alex Alegria,71
36,,67
37,,66
38,,70
39,,66
40,,77
41,Andres Fernandez,76
42,,64
43,,71
44,Vitorino Antunes,80
45,,70
46,Guilherme Arana,73
47,Anaitz Arbilla,78
48,Aritz Elustondo,75
49,,82
50,Daniel Molina Orta,66
51,Bernardo Espinosa,77
52,Mikel Balenziaga,75
53,Antonio Barragan,77
54,Marc Bartra,82
55,Bebe,75
56,,66
57,Beñat Etxebarria,80
58,Pedro Bigas,75
59,Borja Baston,75
60,,71
61,Borja Garcia,79
62,,76
63,Borja Lasso,71
64,Borja Mayoral,75
65,Brais Mendez,73
66,,81
67,Bruno Gonzalez ,77
68,Burgui,75
69,Unai Bustinza,75
70,Carlos Bacca,82
71,Claudio Beauvue,75
72,Cheick Doukoure,74
73,,70
74,Clement Lenglet,82
75,,78
76,Cristhian Stuani,80
77,,69
78,,68
79,Jose Campaña,79
80,Sergio Canales,79
81,Ander Capa,78
82,Carles Planas,75
83,,66
84,Carlos Fernandez,69
85,Carlos Isaac,64
86,Carlos Soler,80
87,Dani Carvajal,84
88,Casemiro,88
89,Charles,79
90,Chema,74
91,Omar Ramos,68
92,Coke,78
93,,77
94,,70
95,Philippe Coutinho,88
96,,67
97,Cristian Tello,80
98,,65
99,,69
100,Carlos Sanchez,67
101,Iñigo Cordoba,75
102,Daniele Bonera,76
103,,73
104,Denis Cheryshev,77
105,Djene,77
106,,64
107,Diego Godin,90
108,,74
109,Diego Rolan,75
110,Dimitris Siovas,72
111,Damian Suarez,77
112,Daniel Torres,77
113,,72
114,Daniel Wass,82
115,David Zurutuza,77
116,,65
117,Dani Ceballos,78
118,Dani Garcia,82
119,,60
120,,64
121,,67
122,Dani Raba,75
123,Daniel Carriço,78
124,,60
125,Dario Poveda,61
126,David Alba,63
127,,69
128,,70
129,,74
130,David Juncà,76
131,David Lopez,79
132,David Soria,78
133,Oscar de Marcos,79
134,Tomas Pina Isla,76
135,Alberto de la Bella,75
136,Denis Suarez,79
137,,64
138,Barri,61
139,Diego Costa,85
140,Diego Llorente,76
141,Diego Lopez,80
142,,71
143,Didac Vilà,72
144,,66
145,Ever Banega,83
146,Enis Bardhi,78
147,Emmanuel Boateng,76
148,Erick Cabaco,75
149,Ezequiel Garay,82
150,,64
151,Emre Mor,74
152,Ezequiel Muñoz ,71
153,,69
154,,74
155,,70
156,Enes Ünal,78
157,,64
158,,72
159,,76
160,Javier Eraso,76
161,Sergio Escudero,79
162,Xabier Etxeita,74
163,,62
164,Francis Coquelin,79
165,,64
166,,57
167,Fabian Orellana,79
168,Facundo Roncaglia,75
169,Federico Valverde,73
170,Franco Vazquez,82
171,Ferran Torres,73
172,Filipe Luis,85
173,,72
174,,64
175,Francis Guerrero,75
176,,79
177,Gareth Bale,88
178,Gustavo Cabral,77
179,,75
180,Gonzalo Escalante,78
181,,76
182,Geoffrey Kondogbia,82
183,Guillermo Maripan,73
184,Gabriel Mercado,79
185,Geronimo Rulli,81
186,Gaku Shibasaki,77
187,Gabriel,76
188,Gabriel Paulista,82
189,Ganso,76
190,Jose Luis Gayà,79
191,,82
192,,61
193,Gerard Moreno,83
194,Andoni Gorosabel,68
195,Alex Granell,79
196,Esteban Granero,78
197,,72
198,Gerard Gumbau,71
199,Jon Guridi,65
200,,67
201,Alex Galve,75
202,Hector Moreno,76
203,Hernan Perez,77
204,Mario Hermoso,73
205,Iago Herrerin,78
206,,73
207,Hugo Duro,62
208,Hugo Mallo,80
209,Hector Hernandez,69
210,,75
211,Ivan Rakitić,87
212,Iago Aspas,85
213,Ibai Gomez,79
214,,67
215,Ignasi Miquel,73
216,Asier Illarramendi,84
217,,75
218,Gorka Iraizoz,76
219,Isco,89
220,Ander Iturraspe,78
221,Ivi,75
222,Ivan Alejo,76
223,Ivan Cuellar,76
224,Ivan Lopez,73
225,Ivan Ramis,77
226,Ivan Villar ?Ivan Rodriguez ,68
227,Iñigo Martinez,79
228,,67
229,,66
230,Jose Alonso Lara,73
231,Jasper Cillessen,81
232,Junior Firpo,75
233,Jose Maria Gimenez,84
234,,77
235,John Guidetti,79
236,,75
237,Johan Mojica,78
238,Jeison Murillo,81
239,Juanjo Narvaez,69
240,Jan Oblak,90
241,,74
242,Jaime Sierra Mateos,63
243,Jairo Samperio,67
244,Jason,74
245,Jaume Domenech,76
246,Jaume Costa,79
247,,51
248,,73
249,Javi Fuego,78
250,Javi Garcia,78
251,Ramiro Guerra,70
252,,65
253,Javi Lopez,75
254,,69
255,,60
256,Miguel Angel Rubio,58
257,,64
258,Jesus Navas,78
259,Joan Jordan,77
260,Joaquin,82
261,Alex Robles,75
262,Jon Bautista,71
263,,65
264,Jony,75
265,Jordi Alba,87
266,Jordi Amat,76
267,,72
268,,74
269,Jorge Molina,77
270,Jose Arnaiz,70
271,,66
272,,64
273,,67
274,Jozabed,77
275,Juanfran,74
276,Juanfran,80
277,Juanmi,77
278,Juanpe,77
279,,64
280,Julio Gracia,61
281,,65
282,Karim Benzema,84
283,Kevin Gameiro,81
284,Keylor Navas,87
285,,72
286,Kevin Soni,64
287,,80
288,,70
289,Keko,75
290,,68
291,Kike,65
292,,62
293,,80
294,,60
295,Kiko Casilla,80
296,,72
297,Koke,85
298,Koke Vegas,68
299,Kevin Rodrigues,73
300,,74
301,Leandro Cabrera,72
302,Leandro Chichizola,77
303,,63
304,Lucas Hernandez,82
305,Lionel Messi,94
306,Luka Modrić,91
307,Luis Muriel,80
308,Luis Suarez,72
309,Leonardo Suarez ,91
310,Luca Zidane,63
311,Victor Laguardia,76
312,Toni Lato,75
313,Iñigo Lekue,75
314,Leo Baptistão,79
315,,67
316,,60
317,Loren Moron,78
318,,69
319,Lucas Vazquez,83
320,Luisinho,75
321,,72
322,Antonio Luna,74
323,Mauro Arambarri,76
324,Mariano Barbosa,76
325,,81
326,,76
327,Marko Dmitrović,79
328,Mauro dos Santos,70
329,Maxi Gomez,80
330,,75
331,Miguel Layun,78
332,Merveille Ndockyt,66
333,,63
334,,73
335,,76
336,,69
337,Wakaso,74
338,Marc-Andre ter Stegen,89
339,,74
340,,83
341,,63
342,Manu Garcia,78
343,,64
344,,70
345,Manu Trigueros,83
346,,69
347,Marc Muniesa,74
348,Marc Roca,75
349,,56
350,Marcelo,88
351,Marco Asensio,85
352,Marcos Llorente,79
353,Mario Gaspar,80
354,Mario Gonzalez,63
355,,65
356,Markel Bergara,77
357,,75
358,,57
359,,76
360,,59
361,,64
362,Alvaro Medran,75
363,Oscar Melendo,73
364,,75
365,,57
366,,60
367,,75
368,,68
369,,64
370,,62
371,,66
372,Mikel Rico,75
373,Mikel San Jose,77
374,,71
375,,66
376,,64
377,,74
378,Jefferson Montero,60
379,,55
380,Jose Luis Morales,81
381,Miguel Angel Moya,80
382,Iker Muniain,80
383,Munir El Haddadi,77
384,Michel,74
385,Sergio Araujo,75
386,Nabil El Zhar,76
387,,79
388,,70
389,Nemanja Maksimović,73
390,Nicolas Pareja,78
391,Nemanja Radoja,77
392,Nicola Sansone,76
393,,77
394,Nacho,71
395,,83
396,Nacho Gil,72
397,Naldo,75
398,Neto,84
399,,67
400,Nolito,80
401,Nelson Semedo,80
402,,70
403,Ousmane Dembele,82
404,Oscar Duarte,75
405,,77
406,,77
407,,59
408,Alvaro Odriozola,80
409,Oier Olazabal,75
410,,67
411,,61
412,Mikel Oyarzabal,80
413,Papakouli Diop,77
414,,60
415,Pablo Piatti,79
416,,74
417,,66
418,Pione Sisto,78
419,,65
420,Pablo Fornals,81
421,Pablo Sarabia,81
422,Fernando Pacheco,79
423,Paco Alcacer,79
424,,67
425,Daniel Parejo,86
426,,60
427,,65
428,Pau Lopez,82
429,Paulo Oliveira,78
430,Alfonso Pedraza,76
431,Pedro Leon,81
432,Pedro Lopez,71
433,,61
434,,56
435,,68
436,,66
437,,73
438,Pere Pons,78
439,,67
440,Gerard Pique,87
441,,56
442,Francisco Portillo,75
443,Portu,80
444,Sergio Postigo,75
445,,74
446,,67
447,,71
448,,62
449,,62
450,Ryad Boudebouz,80
451,,69
452,,68
453,,77
454,,66
455,,62
456,Robert Mazaň,68
457,Raphaël Varane,86
458,,82
459,Jonas Ramalho,74
460,Raul Garcia,73
461,Raul Garcia,81
462,Raul Navas,75
463,,59
464,,64
465,Asier Riesgo,73
466,,68
467,,72
468,,63
469,Roberto,77
470,Ruben Rochina,75
471,Rodri,82
472,Rodrigo,84
473,Rodrigo Ely,75
474, Roger Marti,77
475,Roque Mesa,79
476,,72
477,Ruben Blanco,77
478,Ruben Duarte,75
479,,72
480,,62
481,Ruben Pardo,75
482,Ruben Peña,77
483,Ruben Perez,75
484,Ruben Sobrino,76
485,,67
486,Rober,73
487,Ruben Semedo,75
488,Ruben Vezo,77
489,,78
490,,77
491,Sebastien Corchia,75
492,,70
493,,76
494,Simon Kjær,79
495,Stanislav Lobotka,78
496,,74
497,,73
498,Stefan Savić,83
499,Samuel Umtiti,87
500,Sabin Merino,75
501,Samu Garcia,72
502,,59
503,,60
504,,67
505,,80
506,,69
507,Santi Mina,80
508,,71
509,Saul Ñiguez,85
510,Jon Ander Serantes,76
511,Sergi Darder,79
512,Sergi Enrich,80
513,,75
514,Sergi Gomez,77
515,Sergi Roberto,84
516,Sergi Samper,73
517,,60
518,,78
519,Sergio Asenjo,84
520,Benito Ramirez,61
521,Sergio Busquets,88
522,Sergio Garcia,77
523,Sergio Leon,79
524,,64
525,,58
526,Sergio Ramos,91
527,Sergio Sanchez,73
528,,60
529,Sergio Alvarez,76
530,Sidnei,79
531,,62
532,,63
533,Antonio Sivera,70
534,Roberto Soriano,68
535,Markel Susaeta,80
536,,61
537,,90
538,Theo Hernandez,76
539,Takashi Inui,80
540,Toni Kroos,90
541,,83
542,Thomas Partey,82
543,,78
544,Thomas Vermaelen,77
545,,63
546,,64
547,David Timor,76
548,Tito,72
549,,76
550,Toni Moya,61
551,,70
552,Toño,75
553,,75
554,,75
555,Unai Nuñez,75
556,David Simon,68
557,Jesus Vallejo,78
558,,71
559,Mikel Vesga,72
560,Victor Sanchez,77
561,Carlos Vigaray,72
562,,68
563,,77
564,Vitolo,81
565,,55
566,Victor Ruiz,82
567,Wissam Ben Yedder,81
568,,66
569,,59
570,,84
571,Iñaki Williams,81
572,Willian Jose,83
573,Xesc Regis,64
574,Ximo Navarro,74
575,,57
576,Yassine Bounou,77
577,Youssef En-Nesyri,72
578,,68
579,Yeray Alvarez,77
580,Yoel,77
581,,77
582,Zouhair Feddal,80
583,Joseba Zaldua,74
584,Igor Zubeldia,73
585,,67
586,,64
587,,63
588,,61
589,,71
590,,74
591,Alejandro Gutierrez Mozo,61
592,,77
593,Alvaro Gonzalez,74
594,,79
595,Alvaro Jimenez,74
596,Angel Rodriguez,80
597,,61
598,Oscar Romero,68
599,,68
600,,73
